name	brand	model	condition	damage	quantity	price	inpost_size
Ładowarka ścienna Poss PSWCC-2.4WH-18 typu C – biała	Poss	PSWCC-2.4WH-18	używany	brak	1	10	A
Ładowarka ścienna Samsung EP-TA200, USB-A, 15W biała	Samsung	EP-TA200	używany	brak	1	10	A
